No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
33649,2017,1,1,0,251.5,298.5,15.0,126.5,3150.0,7.0,-4.7,1022.9,-6.4,0.0,SSE,0.4,Shunyi
33650,2017,1,1,1,251.5,298.5,12.0,111.0,3150.0,5.0,-5.3,1023.1,-6.7,0.0,S,1.3,Shunyi
33651,2017,1,1,2,251.5,298.5,10.0,105.0,3150.0,4.0,-5.8,1023.5,-6.6,0.0,S,1.1,Shunyi
33652,2017,1,1,3,251.5,298.5,9.0,102.0,3150.0,4.0,-5.9,1023.4,-6.6,0.0,SSE,0.8,Shunyi
33653,2017,1,1,4,251.5,298.5,9.0,102.0,3150.0,29.0,-5.6,1022.6,-6.4,0.0,SSW,0.9,Shunyi
33654,2017,1,1,5,251.5,298.5,9.0,101.0,3150.0,3.0,-5.7,1022.0,-6.5,0.0,WSW,1.3,Shunyi
33655,2017,1,1,6,251.5,298.5,9.0,105.0,3150.0,3.0,-5.6,1022.4,-6.3,0.0,NNE,0.4,Shunyi
33656,2017,1,1,7,251.5,298.5,8.0,110.0,3150.0,3.0,-6.1,1022.7,-6.9,0.0,NNE,1.0,Shunyi
33657,2017,1,1,8,251.5,298.5,8.0,108.0,3150.0,4.0,-6.3,1023.2,-7.1,0.0,WNW,0.7,Shunyi
33658,2017,1,1,9,251.5,298.5,8.0,104.0,3150.0,4.0,-6.5,1023.3,-7.4,0.0,WNW,0.1,Shunyi
33659,2017,1,1,10,251.5,298.5,8.0,106.0,3150.0,29.0,-5.6,1023.5,-6.8,0.0,WNW,1.2,Shunyi
33660,2017,1,1,11,251.5,298.5,9.0,119.0,3150.0,7.0,-3.6,1022.6,-6.9,0.0,W,1.0,Shunyi
33661,2017,1,1,12,251.5,298.5,12.0,126.5,3150.0,8.0,-1.4,1021.7,-7.3,0.0,SE,0.8,Shunyi
33662,2017,1,1,13,251.5,298.5,14.0,126.5,3150.0,11.0,-0.5,1020.9,-5.7,0.0,SSE,1.2,Shunyi
33663,2017,1,1,14,251.5,298.5,20.0,126.5,3150.0,15.0,0.5,1020.0,-5.9,0.0,ESE,1.1,Shunyi
33664,2017,1,1,15,251.5,298.5,20.0,126.5,3150.0,11.0,0.2,1020.1,-5.2,0.0,ESE,1.8,Shunyi
33665,2017,1,1,16,251.5,298.5,16.0,126.5,3150.0,15.0,-1.0,1019.7,-5.1,0.0,SE,1.7,Shunyi
33666,2017,1,1,17,251.5,298.5,13.0,126.5,3150.0,4.0,-2.0,1019.6,-5.3,0.0,SE,1.3,Shunyi
33667,2017,1,1,18,251.5,298.5,12.0,126.5,3150.0,2.0,-2.6,1019.9,-5.4,0.0,ESE,1.2,Shunyi
33668,2017,1,1,19,251.5,298.5,11.0,126.5,3150.0,3.0,-3.2,1020.5,-5.5,0.0,ESE,1.1,Shunyi
33669,2017,1,1,20,251.5,298.5,10.0,121.0,3150.0,4.0,-3.9,1021.1,-5.9,0.0,NE,2.0,Shunyi
33670,2017,1,1,21,251.5,298.5,9.0,116.0,3150.0,4.0,-4.5,1021.3,-6.2,0.0,WSW,1.3,Shunyi
33671,2017,1,1,22,251.5,298.5,8.0,116.0,3150.0,4.0,-5.0,1021.6,-6.2,0.0,NNE,1.3,Shunyi
33672,2017,1,1,23,251.5,298.5,10.0,121.0,3150.0,4.0,-5.3,1022.0,-6.7,0.0,NW,1.1,Shunyi
33673,2017,1,2,0,251.5,298.5,10.0,118.0,3150.0,4.0,-5.9,1021.7,-7.1,0.0,NNW,0.7,Shunyi
33674,2017,1,2,1,251.5,298.5,11.0,126.5,3150.0,5.0,-6.0,1021.5,-7.4,0.0,NNE,1.4,Shunyi
33675,2017,1,2,2,251.5,298.5,11.0,126.5,3150.0,4.0,-5.4,1021.7,-6.9,0.0,NW,1.4,Shunyi
33676,2017,1,2,3,251.5,298.5,10.0,126.5,3150.0,3.0,-6.4,1022.3,-8.2,0.0,SSE,0.9,Shunyi
33677,2017,1,2,4,251.5,298.5,10.0,126.5,3150.0,3.0,-6.9,1022.0,-8.4,0.0,NE,0.5,Shunyi
33678,2017,1,2,5,251.5,298.5,10.0,126.5,3150.0,2.0,-7.3,1021.8,-8.8,0.0,NNE,0.8,Shunyi
33679,2017,1,2,6,251.5,276.0,14.0,108.0,3150.0,2.0,-6.9,1022.0,-9.6,0.0,NW,1.3,Shunyi
33680,2017,1,2,7,226.0,226.0,12.0,101.0,3150.0,2.0,-6.4,1022.6,-8.8,0.0,NW,1.5,Shunyi
33681,2017,1,2,8,167.0,167.0,18.0,93.0,3150.0,2.0,-4.4,1023.2,-9.4,0.0,NE,1.8,Shunyi
33682,2017,1,2,9,107.0,107.0,24.0,72.0,2900.0,9.0,-1.9,1023.9,-8.4,0.0,NNE,0.9,Shunyi
33683,2017,1,2,10,84.0,84.0,25.0,49.0,2200.0,26.0,2.0,1024.3,-7.9,0.0,NNE,0.8,Shunyi
33684,2017,1,2,11,50.0,50.0,23.0,32.0,1400.0,49.0,5.5,1024.1,-10.3,0.0,N,1.1,Shunyi
33685,2017,1,2,12,25.0,25.0,11.0,19.0,800.0,67.0,6.9,1023.1,-11.8,0.0,NE,1.5,Shunyi
33686,2017,1,2,13,21.0,21.0,7.0,14.0,500.0,76.0,8.2,1022.2,-12.9,0.0,SSE,0.9,Shunyi
33687,2017,1,2,14,73.0,107.0,14.0,68.0,1600.0,56.0,7.9,1021.5,-11.0,0.0,SSW,2.3,Shunyi
33688,2017,1,2,15,95.0,95.0,18.0,90.0,1800.0,43.0,7.9,1021.0,-10.5,0.0,S,2.1,Shunyi
33689,2017,1,2,16,118.0,118.0,22.0,111.0,2300.0,33.0,5.8,1021.2,-6.8,0.0,S,2.6,Shunyi
33690,2017,1,2,17,204.0,233.0,28.0,126.5,3150.0,14.0,3.6,1021.5,-6.1,0.0,S,1.9,Shunyi
33691,2017,1,2,18,251.5,266.0,30.0,126.5,3150.0,9.0,2.3,1021.8,-7.3,0.0,SW,1.7,Shunyi
33692,2017,1,2,19,242.0,242.0,27.0,126.5,3150.0,3.0,0.5,1021.9,-7.3,0.0,SE,1.2,Shunyi
33693,2017,1,2,20,251.5,266.0,21.0,126.5,3150.0,3.0,-0.6,1022.0,-7.2,0.0,E,0.8,Shunyi
33694,2017,1,2,21,251.5,298.5,28.0,126.5,3150.0,5.0,-1.0,1021.7,-6.4,0.0,ESE,1.2,Shunyi
33695,2017,1,2,22,251.5,298.5,32.0,126.5,3150.0,6.0,-1.5,1021.6,-6.1,0.0,ESE,1.1,Shunyi
33696,2017,1,2,23,251.5,298.5,27.0,126.5,3150.0,5.0,-2.2,1021.1,-6.6,0.0,NE,0.7,Shunyi
