NO2,O3
126.5,7.0
111.0,5.0
105.0,4.0
102.0,4.0
102.0,29.0
101.0,3.0
105.0,3.0
110.0,3.0
108.0,4.0
104.0,4.0
106.0,29.0
119.0,7.0
126.5,8.0
126.5,11.0
126.5,15.0
126.5,11.0
126.5,15.0
126.5,4.0
126.5,2.0
126.5,3.0
121.0,4.0
116.0,4.0
116.0,4.0
121.0,4.0
118.0,4.0
126.5,5.0
126.5,4.0
126.5,3.0
126.5,3.0
126.5,2.0
108.0,2.0
101.0,2.0
93.0,2.0
72.0,9.0
49.0,26.0
32.0,49.0
19.0,67.0
14.0,76.0
68.0,56.0
90.0,43.0
111.0,33.0
126.5,14.0
126.5,9.0
126.5,3.0
126.5,3.0
126.5,5.0
126.5,6.0
126.5,5.0
126.5,7.0
126.5,3.0
126.5,4.0
126.5,4.0
124.0,76.0
124.0,3.0
119.0,2.0
110.0,2.0
98.0,2.0
100.0,3.0
95.0,7.0
88.0,18.0
92.0,28.0
74.0,49.0
69.0,59.0
85.0,48.0
126.5,21.0
126.5,5.0
126.5,3.0
126.5,3.0
126.5,4.0
126.5,6.0
126.5,6.0
126.5,5.0
126.5,4.0
126.5,5.0
126.5,4.0
126.5,5.0
126.5,9.0
126.5,6.0
126.5,4.0
126.5,4.0
116.0,3.0
101.0,2.0
109.0,4.0
109.0,7.0
126.5,13.0
126.5,59.0
126.5,35.0
120.0,43.0
126.5,30.0
126.5,8.0
126.5,43.0
2.0,3.0
126.5,4.0
126.5,3.0
126.5,2.0
119.0,2.0
115.0,2.0
113.0,2.0
112.0,2.0
112.0,2.0
123.0,43.0
118.0,2.0
125.0,2.0
124.0,2.0
125.0,2.0
122.0,2.0
125.0,3.0
126.5,6.0
116.0,16.0
111.0,25.0
101.0,43.0
89.0,33.0
85.0,33.0
89.0,27.0
104.0,17.0
112.0,33.0
2.0,4.0
113.0,4.0
118.0,6.0
123.0,7.0
120.0,6.0
112.0,5.0
125.0,9.0
126.5,12.0
126.5,10.0
121.0,7.0
87.0,3.0
81.0,3.0
89.0,4.0
91.0,3.0
79.0,2.0
64.0,7.0
76.0,13.0
79.0,21.0
82.0,28.0
85.0,36.0
99.0,29.0
114.0,15.0
126.5,4.0
126.5,3.0
126.5,4.0
126.5,4.0
126.5,7.0
126.0,6.0
104.0,5.0
96.0,4.0
89.0,3.0
84.0,2.0
83.0,36.0
73.0,2.0
71.0,2.0
64.0,2.0
66.0,2.0
67.0,2.0
68.0,2.0
64.0,5.0
54.0,10.0
53.0,12.0
52.0,12.0
56.0,7.0
56.0,4.0
65.0,2.0
70.0,2.0
68.0,2.0
67.0,2.0
71.0,2.0
67.0,2.0
66.0,2.0
60.0,2.0
58.0,4.0
50.0,3.0
58.0,2.0
70.0,2.0
40.0,15.0
41.0,19.0
40.0,21.0
53.0,12.0
39.0,26.0
29.0,39.0
22.0,51.0
